id,handle,sku,composite_name,composite_sku,composite_quantity,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,tags,supply_price,retail_price,loyalty_value,loyalty_value_default,account_code,account_code_purchase,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Mississauga_Outlet,inventory_Mississauga_Outlet,reorder_point_Mississauga_Outlet,reorder_quantity_Mississauga_Outlet,min_quantity_Mississauga_Outlet,max_quantity_Mississauga_Outlet
b5e3b47d-5591-469a-8837-623aa57bc913,jlttil---porcelain-utica-snow---bpck36008-----1224---8pcb,TIL-JLTL-BPCK36008,,,,JLTLTIL - Essential Collection (Utica Snow) | 12x24 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Colour / tone: Utica Snow | Box size (sf): 16 | Pieces per box: 8 | Volume pricing notes: Your cut order price: $2.00/sf | Skid price: $1.71/sf | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before. Handle copied verbatim from the live LS record (not regenerated).",FLOORING / TILE,,,,,,,,2.22,4.22,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,,,
69d50929-06d5-472a-99f2-c59fed7b581b,jlttil---porcelain-utica-snow---bpck6008-----2424---4pcb,TIL-JLTL-BPCK6008,,,,JLTLTIL - Essential Collection (Utica Snow) | 24x24 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Colour / tone: Utica Snow | Box size (sf): 16 | Pieces per box: 4 | Volume pricing notes: Your cut order price: $2.00/sf | Skid price: $1.71/sf | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before. Handle copied verbatim from the live LS record (not regenerated).",FLOORING / TILE,,,,,,,,2.22,4.22,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,,,
4352ba55-fe86-4ee1-abcf-6f924639e389,jlttil---porcelain-royal-dianna-silver---rd36320-----1224---8pcb,TIL-JLTL-RD36320,,,,JLTLTIL - Essential Collection (Royal Dianna Silver) | 12x24 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Colour / tone: Royal Dianna Silver | Box size (sf): 16 | Pieces per box: 8 | Volume pricing notes: Your cut order price: $2.00/sf | Skid price: $1.71/sf | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before. Handle copied verbatim from the live LS record (not regenerated).",FLOORING / TILE,,,,,,,,2.22,4.22,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,,,
1d46e1ab-0e26-43c4-80e3-5580c25660ac,jlttil---porcelain-royal-dianna-silver---rd60320-----2424---4pcb,TIL-JLTL-RD60320,,,,JLTLTIL - Essential Collection (Royal Dianna Silver) | 24x24 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Colour / tone: Royal Dianna Silver | Box size (sf): 16 | Pieces per box: 4 | Volume pricing notes: Your cut order price: $2.00/sf | Skid price: $1.71/sf | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before. Handle copied verbatim from the live LS record (not regenerated).",FLOORING / TILE,,,,,,,,2.22,4.22,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,,,
561771fe-a260-44ce-8e49-8dc85b5ef030,jlttil---essential---porcelain-pure-white---sp36poot-----12-x-24---8pcb---16sfb,TIL-JLTL-SP36P00T,,,,JLTLTIL - Essential Collection (Pure White) | 12x24 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Colour / tone: Pure White | Box size (sf): 16 | Pieces per box: 8 | Volume pricing notes: Your cut order price: $2.52/sf | Skid price: $2.16/sf | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before. Handle copied verbatim from the live LS record (not regenerated).",FLOORING / TILE,,,,,,,,2.80,4.80,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,,,
16b1cbd5-4f19-46b8-b560-8d15fb495188,jlttil---essential---porcelain-pure-white---spc6poot-----24-x-24---4pcb---16sfb,TIL-JLTL-SP6P00T,,,,JLTLTIL - Essential Collection (Pure White) | 24x24 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Colour / tone: Pure White | Box size (sf): 16 | Pieces per box: 4 | Volume pricing notes: Your cut order price: $2.52/sf | Skid price: $2.16/sf | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before. Handle copied verbatim from the live LS record (not regenerated).",FLOORING / TILE,,,,,,,,2.80,4.80,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,,,
76cab8ec-fc91-46ea-bea5-7eb046066a20,jlttil---porcelain-statuario-vienna---bpck36009-----1224---8pcb,TIL-JLTL-BPCK36009,,,,JLTLTIL - Essential Collection (Staturio Vienna) | 12x24 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Colour / tone: Staturio Vienna | Box size (sf): 16 | Pieces per box: 8 | Volume pricing notes: Your cut order price: $2.00/sf | Skid price: $1.71/sf | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before. Handle copied verbatim from the live LS record (not regenerated).",FLOORING / TILE,,,,,,,,2.22,4.22,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,,,
b8c40ef4-45e0-466d-a492-7b2efc52670b,jlttil---porcelain-statuario-vienna---bpck6009-----2424---4pcb,TIL-JLTL-BPCK6009,,,,JLTLTIL - Essential Collection (Staturio Vienna) | 24x24 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Colour / tone: Staturio Vienna | Box size (sf): 16 | Pieces per box: 4 | Volume pricing notes: Your cut order price: $2.00/sf | Skid price: $1.71/sf | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before. Handle copied verbatim from the live LS record (not regenerated).",FLOORING / TILE,,,,,,,,2.22,4.22,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,,,
f204faf6-3bd9-42bc-a99b-e45192d0e0ba,jlttil---porcelain-super-pure-black---lf36808-----1224---8pcb,TIL-JLTL-LF36808,,,,JLTLTIL - Essential Collection (Super Pure Black (full body)) | 12x24 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Colour / tone: Super Pure Black (full body) | Box size (sf): 16 | Pieces per box: 8 | Volume pricing notes: Your cut order price: $3.32/sf | Skid price: $2.84/sf | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before. Handle copied verbatim from the live LS record (not regenerated).",FLOORING / TILE,,,,,,,,3.69,5.69,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,,,
82f21088-cf46-4f11-94ea-d44407b1bf3e,jlttil---porcelain-super-pure-black---lf6808-----2424---4pcb,TIL-JLTL-LF6808,,,,JLTLTIL - Essential Collection (Super Pure Black (full body)) | 24x24 | Polished - 16.00sf/b,"Finish type: Polished | Material type: Porcelain | Colour / tone: Super Pure Black (full body) | Box size (sf): 16 | Pieces per box: 4 | Volume pricing notes: Your cut order price: $3.32/sf | Skid price: $2.84/sf | SKU column is Airtable's newly-minted SKU (RULE 0), overwriting whatever SKU this LS record held before. Handle copied verbatim from the live LS record (not regenerated).",FLOORING / TILE,,,,,,,,3.69,5.69,,,,,JL Tile,JL Tile,,1,1,Default Tax,,,,,
