issue,id,handle,sku,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,tags,supply_price,retail_price,loyalty_value,account_code,account_code_purchase,brand_name,supplier_name,supplier_code,active,track_inventory
"handle already exists for your retailer, sku already exists for your retailer",0a6f6e36-8b89-11eb-f3d6-7e8b6aeba2b8,GRND5EWOLAGOMHB,ENG-GRAN-0056,"GRNDENG - Herringbone European White Oak (Lagom HB) T&G | 5"" x 19.05mm x RL - 3mm top - 9.70sf/b - Select",Layout pattern: Herringbone | Finish type: Smoked & Wirebrushed | MAP price ($/sf): 8.69 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | MatchStatus: matched,FLOORING / ENGINEERED HARDWOOD,,,,,,,,6.09,7.09,,,,Grandeur,Grandeur,,1,1
"handle already exists for your retailer, sku already exists for your retailer",0a6f6e36-8b89-11eb-f3d6-7e8b6bb5fa1a,GRND5EWONORDICSANDHB,ENG-GRAN-0057,"GRNDENG - Herringbone European White Oak (Nordic Sand HB) T&G | 5"" x 19.05mm x RL - 3mm top - 9.70sf/b - Select",Layout pattern: Herringbone | Finish type: Smoked & Wirebrushed | MAP price ($/sf): 8.69 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | MatchStatus: matched,FLOORING / ENGINEERED HARDWOOD,,,,,,,,6.09,7.09,,,,Grandeur,Grandeur,,1,1
"handle already exists for your retailer, sku already exists for your retailer",7f10b490-b11d-4b8a-8e59-f5287afebce8,GRND5EWOPANDOHB,ENG-GRAN-0058,"GRNDENG - Herringbone European White Oak (Pando HB) T&G | 5"" x 19.05mm x RL - 3mm top - 9.70sf/b - Select",Layout pattern: Herringbone | Finish type: Smoked & Wirebrushed | MAP price ($/sf): 8.69 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | MatchStatus: matched,FLOORING / ENGINEERED HARDWOOD,,,,,,,,6.09,7.09,,,,Grandeur,Grandeur,,1,1
"handle already exists for your retailer, sku already exists for your retailer",367bd8a8-1208-4179-8636-da9581066c56,GRND5EWOTUNDRAHB,ENG-GRAN-0059,"GRNDENG - Herringbone European White Oak (Tundra HB) T&G | 5"" x 19.05mm x RL - 3mm top - 9.70sf/b - Select",Layout pattern: Herringbone | Finish type: Smoked & Wirebrushed | MAP price ($/sf): 8.69 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | MatchStatus: matched,FLOORING / ENGINEERED HARDWOOD,,,,,,,,6.09,7.09,,,,Grandeur,Grandeur,,1,1
"handle already exists for your retailer, sku already exists for your retailer",4ddb1936-73fb-4f83-8032-ab92085605be,GRND6EWOBAROSSAHB,ENG-GRAN-0084,"GRNDENG - Regal Plus European White Oak (Barossa HB) T&G | 6"" x 19.05mm x RL - 3mm top - 8.72sf/b - Select & Better",Layout pattern: Herringbone | Finish type: Light Wirebrushed | MAP price ($/sf): 9.89 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | MatchStatus: matched,FLOORING / ENGINEERED HARDWOOD,,,,,,,,7.59,8.59,,,,Grandeur,Grandeur,,1,1
"handle already exists for your retailer, sku already exists for your retailer",db38c309-f3b2-41fb-81b3-ea53b734bcdd,GRND6EWOBURGUNDYHB,ENG-GRAN-0085,"GRNDENG - Regal Plus European White Oak (Burgundy HB) T&G | 6"" x 19.05mm x RL - 3mm top - 8.72sf/b - Select & Better",Layout pattern: Herringbone | Finish type: Light Wirebrushed | MAP price ($/sf): 9.89 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | MatchStatus: matched,FLOORING / ENGINEERED HARDWOOD,,,,,,,,7.59,8.59,,,,Grandeur,Grandeur,,1,1
"handle already exists for your retailer, sku already exists for your retailer",1927955a-c997-4c30-a113-51cfa6d1cd63,GRND6EWONAPAVALLEYHB,ENG-GRAN-0086,"GRNDENG - Regal Plus European White Oak (Napa Valley HB) T&G | 6"" x 19.05mm x RL - 3mm top - 8.72sf/b - Select & Better",Layout pattern: Herringbone | Finish type: Light Wirebrushed | MAP price ($/sf): 9.89 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | MatchStatus: matched,FLOORING / ENGINEERED HARDWOOD,,,,,,,,7.59,8.59,,,,Grandeur,Grandeur,,1,1
"handle already exists for your retailer, sku already exists for your retailer",4ddb1936-73fb-4f83-8032-ab92085605be,GRND75EWOBAROSSA,ENG-GRAN-0080,"GRNDENG - Regal Plus European White Oak (Barossa) T&G | 7.5"" x 19.05mm x RL - 3mm top - 22.82sf/b - Select & Better",Finish type: Light Wirebrushed | MAP price ($/sf): 9.89 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | MatchStatus: matched,FLOORING / ENGINEERED HARDWOOD,,,,,,,,7.59,8.59,,,,Grandeur,Grandeur,,1,1
"handle already exists for your retailer, sku already exists for your retailer",db38c309-f3b2-41fb-81b3-ea53b734bcdd,GRND75EWOBURGUNDY,ENG-GRAN-0081,"GRNDENG - Regal Plus European White Oak (Burgundy) T&G | 7.5"" x 19.05mm x RL - 3mm top - 22.82sf/b - Select & Better",Finish type: Light Wirebrushed | MAP price ($/sf): 9.89 | Last price update: 2026-09-01 | Price last changed by: Cowork | Active: TRUE | MatchStatus: matched,FLOORING / ENGINEERED HARDWOOD,,,,,,,,7.59,8.59,,,,Grandeur,Grandeur,,1,1
