id,handle,sku,composite_1,composite_2,composite_3,name,description,product_category,variant_option_one_name,variant_option_one_value,variant_option_2_name,variant_option_2_value,variant_option_3_name,variant_option_3_value,tags,supply_price,retail_price,loyalty_1,loyalty_2,account_1,account_2,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_TitanFlooring,inv_1,inv_2,inv_3
0a6f6e36-8b89-11eb-f3d6-7e8b828b8f9c,GRNTANTI5HKBAYLEAF,ENG-GRNT-0072,,,,"GRNTENG - Antique Hickory (Bayleaf) Click | 5"" x 12.7mm x RL - 25.83sf/b - Select & Better",Supplier SKU: HK2111 | Finish type: Hand scraped | Install method: Float | Certifications: CARB II; Floorscore | Last price update: 2026-09-01 | Price last changed by: Cowork | Box size (sf): 25.83 | Boxes per skid: 36 | Active: TRUE | Residential warranty (yrs): 25,FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.69,4.69,,,,,GreenTouch,GreenTouch,,1,1,Default Tax,,,
0a6f6e36-8b89-11eb-f3d6-7e8b82e052b4,GRNTANTI5HKKLAMATH,ENG-GRNT-0067,,,,"GRNTENG - Antique Hickory (Klamath) Click | 5"" x 12.7mm x RL - 25.83sf/b - Select & Better",Supplier SKU: HK2102 | Finish type: Wire brushed | Install method: Float | Certifications: CARB II; Floorscore | Last price update: 2026-09-01 | Price last changed by: Cowork | Box size (sf): 25.83 | Boxes per skid: 36 | Active: TRUE | Residential warranty (yrs): 25,FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.69,4.69,,,,,GreenTouch,GreenTouch,,1,1,Default Tax,,,
0a6f6e36-8b89-11eb-f3d6-7e8b831c3d67,GRNTANTI5HKLYON,ENG-GRNT-0069,,,,"GRNTENG - Antique Hickory (Lyon) Click | 5"" x 12.7mm x RL - 25.83sf/b - Select & Better",Supplier SKU: HK2104 | Finish type: Wire brushed | Install method: Float | Certifications: CARB II; Floorscore | Last price update: 2026-09-01 | Price last changed by: Cowork | Box size (sf): 25.83 | Boxes per skid: 36 | Active: TRUE | Residential warranty (yrs): 25,FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.69,4.69,,,,,GreenTouch,GreenTouch,,1,1,Default Tax,,,
0a6f6e36-8b89-11eb-f3d6-7e8b82c47149,GRNTANTI5HKMOJAVE,ENG-GRNT-0066,,,,"GRNTENG - Antique Hickory (Mojave) Click | 5"" x 12.7mm x RL - 25.83sf/b - Select & Better",Supplier SKU: HK2101 | Finish type: Wire brushed | Install method: Float | Certifications: CARB II; Floorscore | Last price update: 2026-09-01 | Price last changed by: Cowork | Box size (sf): 25.83 | Boxes per skid: 36 | Active: TRUE | Residential warranty (yrs): 25,FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.69,4.69,,,,,GreenTouch,GreenTouch,,1,1,Default Tax,,,
0a6f6e36-8b89-11eb-f3d6-7e8b82fc86c8,GRNTANTI5HKOMAK,ENG-GRNT-0068,,,,"GRNTENG - Antique Hickory (Omak) Click | 5"" x 12.7mm x RL - 25.83sf/b - Select & Better",Supplier SKU: HK2103 | Finish type: Wire brushed | Install method: Float | Certifications: CARB II; Floorscore | Last price update: 2026-09-01 | Price last changed by: Cowork | Box size (sf): 25.83 | Boxes per skid: 36 | Active: TRUE | Residential warranty (yrs): 25,FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.69,4.69,,,,,GreenTouch,GreenTouch,,1,1,Default Tax,,,
0a6f6e36-8b89-11eb-f3d6-7e8b83b89a8e,GRNTANTI5HKSEDONASAGE,ENG-GRNT-0071,,,,"GRNTENG - Antique Hickory (Sedona Sage) Click | 5"" x 12.7mm x RL - 25.83sf/b - Select & Better",Supplier SKU: HK2110 | Finish type: Hand scraped | Install method: Float | Certifications: CARB II; Floorscore | Last price update: 2026-09-01 | Price last changed by: Cowork | Box size (sf): 25.83 | Boxes per skid: 36 | Active: TRUE | Residential warranty (yrs): 25,FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.69,4.69,,,,,GreenTouch,GreenTouch,,1,1,Default Tax,,,
0a6f6e36-8b89-11eb-f3d6-7e8b839abcd0,GRNTANTI5HKWELLOWPUFF,ENG-GRNT-0070,,,,"GRNTENG - Antique Hickory (Wellow Puff) Click | 5"" x 12.7mm x RL - 25.83sf/b - Select & Better",Supplier SKU: HK2109 | Finish type: Hand scraped | Install method: Float | Certifications: CARB II; Floorscore | Last price update: 2026-09-01 | Price last changed by: Cowork | Box size (sf): 25.83 | Boxes per skid: 36 | Active: TRUE | Residential warranty (yrs): 25,FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.69,4.69,,,,,GreenTouch,GreenTouch,,1,1,Default Tax,,,
0a6f6e36-8b89-11eb-f3d6-7e8b90a02433,GRNTANTI5MPCAPPUCCINO,ENG-GRNT-0060,,,,"GRNTENG - Antique Maple (Cappuccino) Click | 5"" x 12.7mm x RL - 25.83sf/b - Select & Better",Supplier SKU: MP2105 | Finish type: Smooth | Install method: Float | Certifications: CARB II; Floorscore | Last price update: 2026-09-01 | Price last changed by: Cowork | Box size (sf): 25.83 | Boxes per skid: 36 | Active: TRUE | Residential warranty (yrs): 25,FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.69,4.69,,,,,GreenTouch,GreenTouch,,1,1,Default Tax,,,
f3c9568e-e8cf-4ba1-821b-ed5202b1b716,GRNTANTI5MPCHARCOAL,ENG-GRNT-0063,,,,"GRNTENG - Antique Maple (Charcoal) Click | 5"" x 12.7mm x RL - 25.83sf/b - Select & Better",Supplier SKU: MP2108 | Finish type: Smooth | Install method: Float | Certifications: CARB II; Floorscore | Last price update: 2026-09-01 | Price last changed by: Cowork | Box size (sf): 25.83 | Boxes per skid: 36 | Active: TRUE | Residential warranty (yrs): 25,FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.69,4.69,,,,,GreenTouch,GreenTouch,,1,1,Default Tax,,,
0a6f6e36-8b89-11eb-f3d6-7e8b906fc5c9,GRNTANTI5MPEARTH,ENG-GRNT-0059,,,,"GRNTENG - Antique Maple (Earth) Click | 5"" x 12.7mm x RL - 25.83sf/b - Select & Better",Supplier SKU: MP2103 | Finish type: Smooth | Install method: Float | Certifications: CARB II; Floorscore | Last price update: 2026-09-01 | Price last changed by: Cowork | Box size (sf): 25.83 | Boxes per skid: 36 | Active: TRUE | Residential warranty (yrs): 25,FLOORING / ENGINEERED HARDWOOD,,,,,,,,3.69,4.69,,,,,GreenTouch,GreenTouch,,1,1,Default Tax,,,
