SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Effective Date,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus,Price List URL,Promo List URL
LVP-FAWK-0075,"NAF 3mm Aqua Commercial Dry Back Vinyl 7.36"" — Duca",NAF,FLOORS AT WORK,,c347c034-ffd2-4160-887c-8b4a2b2b76d0,LVP736VNYDUCA,Aqua Commercial,Flooring,LVP,SPC core,,,,,7.36,,3,20,,,,,Glue down,Glue down,,,,,,,,,1.49,2.49,,,1.29,2026-09-30,,,,34.58,,55,,,TRUE,TRUE,TRUE,,Light commercial,,,,,,recXxPAKUEONas6SO,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
LVT-FAWK-0004,"NAF 7mm Aqua Tile 12"" x 24"" — Gold",NAF,FLOORS AT WORK,,738bc9aa-a5db-4202-b3bc-b74edcfb4ad8,LVT12VNYGOLD7MM,Aqua Tile,Flooring,LVT,SPC core,,,,,12,,7,,,,,,Click,Float,Valinge 5G,TRUE,,,,Floor,,,2.89,3.89,,,2.29,2026-09-30,,2026-07-09,Agent,16.03,,66,,,TRUE,TRUE,,,,,,,COMING SOON — not yet in stock.,,recHM4no4r7HMUqmd,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
LVT-FAWK-0015,"NAF 5mm Aqua Commercial Dry Back Tile 18"" x 36"" — Magnetite",NAF,FLOORS AT WORK,,40a34129-714c-4f16-b6d7-a0c05d5e6b92,LVT18VNYMAGNETITE,Aqua Commercial,Flooring,LVT,SPC core,,,,,18,,5,20,,,,,Glue down,Glue down,,,,,,Floor,,,2.29,3.29,,,1.69,2026-09-30,,,,22.5,,32,,,TRUE,TRUE,TRUE,,Light commercial,,,,,,recl1EBiC4TFiZYYi,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
LVT-FAWK-0016,"NAF 5mm Aqua Commercial Dry Back Tile 18"" x 36"" — Moonstone",NAF,FLOORS AT WORK,,294acd77-0c1e-4f7b-94f8-7981673f30d7,LVT18VNYMOONSTONE,Aqua Commercial,Flooring,LVT,SPC core,,,,,18,,5,20,,,,,Glue down,Glue down,,,,,,Floor,,,2.29,3.29,,,1.69,2026-09-30,,,,22.5,,32,,,TRUE,TRUE,TRUE,,Light commercial,,,,,,recSYUmc3bu8hKyHY,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
LVP-FAWK-0070,"NAF 5mm Aqualuuuz Loose Lay Vinyl 7.25"" — Prague",NAF,FLOORS AT WORK,,d6fcf275-e7ad-4f8b-8921-93ac21287709,LVP725VNYPRAGUE,Aqualuuuz,Flooring,LVP,SPC core,,,,,7.25,,5,20,,,,,Loose lay,Loose lay,,,,,,,,,2.29,3.29,,,1.79,2026-09-30,,2026-09-19,,19.32,,60,,Clearance,TRUE,TRUE,TRUE,,,,,,,,rec87ACbpUHoaqs5t,matched,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQAsadcCzKtWR67hLJoJtAuWAepiJawdrtIB-T6BmbyZqSE,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
LVP-FAWK-0003,"NAF 6.5mm SPC Vinyl 7.1"" — Westminster",NAF,FLOORS AT WORK,F6WM,9654cca5-88b7-413f-9651-cfa9485ec94e,LVP71VNYWESTMINSTER,6.5mm SPC Vinyl,Flooring,LVP,SPC core,,,,,7.1,,6.5,,,,,,Click,Float,,TRUE,,,,,,,1.69,2.69,,,1.39,2026-09-30,,2026-07-09,Agent,23.9,,45,,,TRUE,TRUE,,,,,,,,,receLOSN70RFtvPM4,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
LVP-FAWK-0027,"NAF 7mm Aquaplus Gold Vinyl 7.1"" — Yorkville",NAF,FLOORS AT WORK,,0a6f6e36-8b89-11eb-f3d6-7e8b563dfc39,LVP71VNYYORKVILLE,Aquaplus Gold,Flooring,LVP,SPC core,,,,,7.1,,7,,,,,,Click,Float,,TRUE,IXPE,,,,,,1.99,2.99,,,1.59,2026-09-30,,2026-07-09,Agent,17.91,,50,,,TRUE,TRUE,,,,,,,,,rec6A20iJNFzJpZQ9,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
LVP-FAWK-0024,"NAF 7mm Classic Collection Vinyl 7.1"" — Punta Cana",NAF,FLOORS AT WORK,,91b85863-42c2-4fa3-9831-7270203370bd,LVP71VNYPUNTACANA,Classic,Flooring,LVP,SPC core,,,,,7.1,,7,,,,,,Click,Float,,TRUE,IXPE,,,,,,1.79,2.79,,,1.59,2026-09-30,,2026-07-09,Agent,17.91,,55,,,TRUE,TRUE,,,,,,,,,recuY87ihavsbjPYR,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
LVP-FAWK-0013,"NAF 7mm Aquaplus Select Vinyl 7.2"" — Grand Bend",NAF,FLOORS AT WORK,,3347d88a-6032-4083-b265-d1f40e58e881,LVP72VNYGRANDBEND,Aquaplus Select,Flooring,LVP,SPC core,,,,,7.2,,7,,,,,,Click,Float,,TRUE,IXPE,,,,,,1.99,2.99,,,1.49,2026-09-30,,2026-07-09,Agent,17.91,,55,,,TRUE,TRUE,,,,,,,,,recUVNh5L5Dxse59q,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
LVP-FAWK-0034,"NAF 7mm Aquaplus Gold Vinyl 7.1"" — Russell Hill",NAF,FLOORS AT WORK,,82735ee6-a739-453b-8f11-b2610df3f358,LVP71VNYRUSSELLHILL,Aquaplus Gold,Flooring,LVP,SPC core,,,,,7.1,,7,,,,,,Click,Float,,TRUE,IXPE,,,,,,1.99,2.99,,,1.89,2026-09-30,,2026-07-09,Agent,17.91,,55,,,TRUE,TRUE,,,,,,,,,recELDE263R6JCOVY,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
LVP-FAWK-0038,"NAF 7mm Aquaplus Gold with Cork Vinyl 7.1"" — Shangri-La",NAF,FLOORS AT WORK,,1af388b2-ea85-4a43-97a3-e8d43caaa035,LVP71VNYSHANGRILA,Aquaplus Gold with Cork,Flooring,LVP,SPC core,,,,,7.1,,7,,,,,,Click,Float,,TRUE,Cork,,,,,,2.09,3.09,,,1.89,2026-09-30,,,,17.63,,50,,,TRUE,TRUE,,,,,,,,,recl6rNIy92ofPoO8,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
