SKU,Product name,Brand,Supplier,Supplier SKU,Lightspeed ID,LS Handle / Parent ID,Collection,Product type,Category,Material type,Species,Colour / tone,Grade,Layout pattern,Width (in),Length,Thickness (mm),Wear layer (mil),Veneer / top layer (mm),Veneer cut type,AC rating,Finish type,Install profile,Install method,Locking system,Underpad included,Underpad type,IIC rating,STC rating,Tile format,Weight per piece (kg),Certifications,Cost/unit,Retail price/unit,MAP price ($/sf),Pallet price ($/sf),Promo cost ($/sf),Promo end date,Volume pricing notes,Effective Date,Price last changed by,Box size (sf),Pieces per box,Boxes per skid,Pieces per pallet,Stock status,Active,Waterproof,Pet friendly,Radiant heat compatible,Traffic rating,Suitable rooms,Residential warranty (yrs),Commercial warranty (yrs),Salesperson notes,Pairs well with,MatchedRecId,MatchStatus,Price List URL,Promo List URL
ENG-FAWK-0071,"NAF Engineered White Oak Elegant 7.5"" (Wirebrushed) — Arizona",NAF,FLOORS AT WORK,,82737f81-6eee-4be8-b27e-29f364af5d1a,ENG75OAKARIZONAELEG,Elegant,Flooring,Engineered hardwood,Hardwood plywood,American White Oak,,,,7.5,,18,,,,,Wire brushed,T&G,Nail / staple,,,,,,,,,3.49,4.49,,,2.99,2026-09-30,,2026-09-19,,23.81,,40,,Clearance,TRUE,,,,,,,,"Aug 2026 NAF promo (Eng Wood Sales August 2026, valid until 2026-08-31): promo cost $2.99/sf, 1040 boxes available. Regular cost unchanged. Final sale, no exchanges; promo stock must be picked up by 2026-08-31.",,recidPa2yFsSt5aGB,matched,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQAsadcCzKtWR67hLJoJtAuWAepiJawdrtIB-T6BmbyZqSE,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0073,"NAF Engineered White Oak Elegant 7.5"" (Wirebrushed) — Colorado",NAF,FLOORS AT WORK,,c51a4aa5-298c-4e1a-8b9e-9171564a8830,ENG75OAKCOLORADOELEG,Elegant,Flooring,Engineered hardwood,Hardwood plywood,American White Oak,,,,7.5,,18,,,,,Wire brushed,T&G,Nail / staple,,,,,,,,,3.49,4.49,,,2.99,2026-09-30,,2026-09-19,,23.81,,40,,Clearance,TRUE,,,,,,,,"Aug 2026 NAF promo (Eng Wood Sales August 2026, valid until 2026-08-31): promo cost $3.19/sf, 636 boxes available. Regular cost unchanged. Final sale, no exchanges; promo stock must be picked up by 2026-08-31.",,recomDZDGwe9jBDCO,matched,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQAsadcCzKtWR67hLJoJtAuWAepiJawdrtIB-T6BmbyZqSE,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0068,"NAF Engineered White Oak Elegant 7.5"" (Wirebrushed) — Montana",NAF,FLOORS AT WORK,,312c35d2-5426-4e6b-bd12-37ace4b7e716,ENG75OAKMONTANAELEG,Elegant,Flooring,Engineered hardwood,Hardwood plywood,American White Oak,,,,7.5,,18,,,,,Wire brushed,T&G,Nail / staple,,,,,,,,,3.49,4.49,,,2.99,2026-09-30,,2026-09-19,,23.81,,40,,Clearance,TRUE,,,,,,,,"Aug 2026 NAF promo (Eng Wood Sales August 2026, valid until 2026-08-31): promo cost $2.99/sf, 909 boxes available. Regular cost unchanged. Final sale, no exchanges; promo stock must be picked up by 2026-08-31.",,recuwDyjqsV4yw9jl,matched,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQAsadcCzKtWR67hLJoJtAuWAepiJawdrtIB-T6BmbyZqSE,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0022,"NAF Engineered White Oak Click 5"" (Wirebrushed) — Golden",NAF,FLOORS AT WORK,,3999f742-2cd2-44d1-a49f-22aeecf4d8f8,ENG5OAKGOLDENCLICK,White Oak Click,Flooring,Engineered hardwood,Hardwood plywood,American White Oak,,,,5,,12,,,,,Wire brushed,Click,Float,,,,,,,,,3.69,4.69,,,2.99,2026-09-30,,,,29.28,,48,,,TRUE,,,,,,,,"Aug 2026 NAF promo (Eng Wood Sales August 2026, valid until 2026-08-31): promo cost $3.19/sf, 418 boxes available. Regular cost unchanged. Final sale, no exchanges; promo stock must be picked up by 2026-08-31.",,recwnyLWOFKFNmFTg,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0025,"NAF Engineered White Oak 6.5"" T&G (Wirebrushed) — Country Brown",NAF,FLOORS AT WORK,,663decc3-d7db-45b3-bba8-677410d1690b,ENG65OAKCOUNTRYBROWN,White Oak T&G,Flooring,Engineered hardwood,Hardwood plywood,American White Oak,,,,6.5,,18,,,,,Wire brushed,T&G,Nail / staple,,,,,,,,,3.69,4.69,,,2.99,2026-09-30,,2026-09-19,,19.18,,48,,Clearance,TRUE,,,,,,,,"Aug 2026 NAF promo (Eng Wood Sales August 2026, valid until 2026-08-31): promo cost $3.29/sf, 687 boxes available. Regular cost unchanged. Final sale, no exchanges; promo stock must be picked up by 2026-08-31.",,recNXWClO1xNgthcG,matched,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQAsadcCzKtWR67hLJoJtAuWAepiJawdrtIB-T6BmbyZqSE,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0029,"NAF Engineered White Oak 6.5"" (168mm) — Oregon Oak",NAF,FLOORS AT WORK,,e24696eb-2a54-4a8b-a98e-ff46b4caa7d4,ENG65OAKOREGONOAK168,White Oak T&G,Flooring,Engineered hardwood,Hardwood plywood,American White Oak,,,,6.5,,18,,,,,,T&G,Nail / staple,,,,,,,,,3.69,4.69,,,2.99,2026-09-30,,2026-09-19,Agent,19.74,,48,,Clearance,TRUE,,,,,,,,"Aug 2026 NAF promo (Eng Wood Sales August 2026, valid until 2026-08-31): promo cost $3.29/sf, 365 boxes available. Regular cost unchanged. Final sale, no exchanges; promo stock must be picked up by 2026-08-31.",,recDbfW4MAobJGtHb,matched,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQAsadcCzKtWR67hLJoJtAuWAepiJawdrtIB-T6BmbyZqSE,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0038,"NAF Engineered White Oak Regal 6.5"" (Wirebrushed) — Suriname",NAF,FLOORS AT WORK,,f8c3f291-d53d-4bca-8cf6-a0835b6cf484,ENG65OAKSURINAMEREGAL,Regal,Flooring,Engineered hardwood,Hardwood plywood,American White Oak,,,,6.5,,18,,,,,Wire brushed,T&G,Nail / staple,,,,,,,,,3.79,4.79,,,2.99,2026-09-30,,2026-09-19,,20.24,,48,,Clearance,TRUE,,,,,,,,"Aug 2026 NAF promo (Eng Wood Sales August 2026, valid until 2026-08-31): promo cost $3.19/sf, 587 boxes available. Regular cost unchanged. Final sale, no exchanges; promo stock must be picked up by 2026-08-31.",,recYbhgc5qCyBedKY,matched,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQAsadcCzKtWR67hLJoJtAuWAepiJawdrtIB-T6BmbyZqSE,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0047,"NAF Engineered White Oak Regal 7.5"" (Wirebrushed) — St. Kitts",NAF,FLOORS AT WORK,,0eff8950-8fd0-42af-b0ac-02c8c3a6547d,ENG75OAKSTKITTSREGAL,Regal,Flooring,Engineered hardwood,Hardwood plywood,American White Oak,,,,7.5,,18,,,,,Wire brushed,T&G,Nail / staple,,,,,,,,,3.79,4.79,,,2.99,2026-09-30,,2026-09-19,,23.31,,45,,Clearance,TRUE,,,,,,,,"Aug 2026 NAF promo (Eng Wood Sales August 2026, valid until 2026-08-31): promo cost $3.19/sf, 395 boxes available. Regular cost unchanged. Final sale, no exchanges; promo stock must be picked up by 2026-08-31.",,rec52TshBv4BLw9B3,matched,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQAsadcCzKtWR67hLJoJtAuWAepiJawdrtIB-T6BmbyZqSE,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0051,"NAF Engineered White Oak Regal 7.5"" (Wirebrushed) — Lisbon",NAF,FLOORS AT WORK,,0cf786be-086e-4d14-8b8e-5861b6fcc97e,ENG75OAKLISBONREGAL,Regal,Flooring,Engineered hardwood,Hardwood plywood,American White Oak,,,,7.5,,18,,,,,Wire brushed,T&G,Nail / staple,,,,,,,,,3.79,4.79,,,2.99,2026-09-30,,2026-09-19,,23.44,,40,,Clearance,TRUE,,,,,,,,"Aug 2026 NAF promo (Eng Wood Sales August 2026, valid until 2026-08-31): promo cost $3.39/sf, 199 boxes available. Regular cost unchanged. Final sale, no exchanges; promo stock must be picked up by 2026-08-31.",,reca9JbNAb45SRmiD,matched,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQAsadcCzKtWR67hLJoJtAuWAepiJawdrtIB-T6BmbyZqSE,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0037,"NAF Engineered White Oak Regal 6.5"" (Wirebrushed) — Puerto Rico",NAF,FLOORS AT WORK,,4561d200-a264-43e8-a56a-0b6ab73145be,ENG65OAKPUERTORICOREGAL,Regal,Flooring,Engineered hardwood,Hardwood plywood,American White Oak,,,,6.5,,18,,,,,Wire brushed,T&G,Nail / staple,,,,,,,,,3.79,4.79,,,2.99,2026-09-30,,2026-09-19,,20.24,,48,,Clearance,TRUE,,,,,,,,"Aug 2026 NAF promo (Eng Wood Sales August 2026, valid until 2026-08-31): promo cost $3.19/sf, 300 boxes available. Regular cost unchanged. Final sale, no exchanges; promo stock must be picked up by 2026-08-31.",,rec4ws7sZSKXsw7Ha,matched,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQAsadcCzKtWR67hLJoJtAuWAepiJawdrtIB-T6BmbyZqSE,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0045,"NAF Engineered White Oak Regal 7.5"" (Wirebrushed) — Cuba",NAF,FLOORS AT WORK,,39665145-285c-423a-ac9c-e1f272491011,ENG75OAKCUBAREGAL,Regal,Flooring,Engineered hardwood,Hardwood plywood,American White Oak,,,,7.5,,18,,,,,Wire brushed,T&G,Nail / staple,,,,,,,,,3.79,4.79,,,2.99,2026-09-30,,2026-09-19,,23.31,,45,,Clearance,TRUE,,,,,,,,"Aug 2026 NAF promo (Eng Wood Sales August 2026, valid until 2026-08-31): promo cost $3.19/sf, 355 boxes available. Regular cost unchanged. Final sale, no exchanges; promo stock must be picked up by 2026-08-31.",,recRavvKj1TS0HJ8r,matched,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQAsadcCzKtWR67hLJoJtAuWAepiJawdrtIB-T6BmbyZqSE,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0043,"NAF Engineered White Oak Regal 7.5"" (Wirebrushed) — Haiti",NAF,FLOORS AT WORK,,67d0277d-2bf4-43ba-9be3-a91e478a495f,ENG75OAKHAITIREGAL,Regal,Flooring,Engineered hardwood,Hardwood plywood,American White Oak,,,,7.5,,18,,,,,Wire brushed,T&G,Nail / staple,,,,,,,,,3.79,4.79,,,2.99,2026-09-30,,,,23.31,,45,,,TRUE,,,,,,,,,,rec1QMBdKOAey0CXN,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0055,"NAF Engineered White Oak Designer 7.5"" (Wirebrushed) — Picasso",NAF,FLOORS AT WORK,,3bf1b792-5c1f-46c9-a58a-f925f6b5eafc,ENG75OAKPICASSODES,Designer,Flooring,Engineered hardwood,Hardwood plywood,American White Oak,,,,7.5,,18,,,,,Wire brushed,T&G,Nail / staple,,,,,,,,,4.99,5.99,,,3.79,2026-09-30,,2026-09-19,,23.31,,40,,Clearance,TRUE,,,,,,,,"Aug 2026 NAF promo (Eng Wood Sales August 2026, valid until 2026-08-31): promo cost $3.69/sf, 333 boxes available. Regular cost unchanged. Final sale, no exchanges; promo stock must be picked up by 2026-08-31. ON SALE — promo cost applied from Feb 23 2026 price list. End date not specified; holds until next list or manual update.",,rec5PbVx2xEUDPO7s,matched,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQAsadcCzKtWR67hLJoJtAuWAepiJawdrtIB-T6BmbyZqSE,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0083,"NAF Engineered Maple 6.5"" (Handscraped, Distressed) — Myth",NAF,FLOORS AT WORK,,d21458e7-09d9-4241-bc81-04a0f6646082,ENG65MAPMYTH,Handscraped Maple,Flooring,Engineered hardwood,Hardwood plywood,Maple,,,,6.5,,18,,,,,Handscraped,T&G,Nail / staple,,,,,,,,,3.99,4.99,,,2.99,2026-09-30,,2026-07-09,Agent,19.18,,48,,,TRUE,,,,,,,,"Aug 2026 NAF promo (Eng Wood Sales August 2026, valid until 2026-08-31): promo cost $2.99/sf, 132 boxes available. Regular cost unchanged. Final sale, no exchanges; promo stock must be picked up by 2026-08-31. Finish labeled 'Handscraped and Distressed' by supplier — this is surface finish language, not a formal grade. Grade field intentionally left blank. The 'Distressed' descriptor here refers to the finish style (visually similar to character/rustic-look products), not a grade tier.",,recghHjiR7bcWrzrb,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
ENG-FAWK-0079,"NAF Engineered Maple 6.5"" (Handscraped, Distressed) — Capri",NAF,FLOORS AT WORK,,0a6f6e36-8b89-11eb-f3d6-7e8b337ea751,ENG65MAPCAPRI,Handscraped Maple,Flooring,Engineered hardwood,Hardwood plywood,Maple,,,,6.5,,18,,,,,Handscraped,T&G,Nail / staple,,,,,,,,,3.99,4.99,,,2.99,2026-09-30,,2026-07-09,Agent,19.18,,48,,,TRUE,,,,,,,,"Aug 2026 NAF promo (Eng Wood Sales August 2026, valid until 2026-08-31): promo cost $3.29/sf, 504 boxes available. Regular cost unchanged. Final sale, no exchanges; promo stock must be picked up by 2026-08-31. Finish labeled 'Handscraped and Distressed' by supplier — this is surface finish language, not a formal grade. Grade field intentionally left blank. The 'Distressed' descriptor here refers to the finish style (visually similar to character/rustic-look products), not a grade tier.",,recehd7swxUjhrY2a,matched,,https://flooruca-my.sharepoint.com/:b:/g/personal/info_titanfloors_ca1/IQDVNGuY-19nS4fKP3l904OzAQJmY3UPktiTmDQmshX16oA
