id,handle,sku,c4,c5,c6,name,description,product_category,variant_option_one_name,variant_option_one_value,vo2n,vo2v,vo3n,vo3v,tags,supply_price,retail_price,loy1,loy2,loy3,loy4,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Titan Flooring,inv,reorder,restock
70e95e43-d8cc-4e0b-b24c-2eb26f15a12d,IMPVINVOLTERRA7KINGSVILLE,LVP-IMPR-37070,,,,"IMPVIN - VOLTERRA COLLECTION (KINGSVILLE) | #37070 | 7"" x 2mm - 48"" - 49.79sf/b",Box size (sf): 49.79 | Boxes per skid: 50,GLUE DOWN,,,,,,,,1.07,2.07,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
1d249391-1299-417b-904c-2cd0003550af,IMPVINVOLTERRA7RENWICK,LVP-IMPR-37071,,,,"IMPVIN - VOLTERRA COLLECTION (RENWICK) | #37071 | 7"" x 2mm - 48"" - 49.79sf/b",Box size (sf): 49.79 | Boxes per skid: 50,GLUE DOWN,,,,,,,,1.07,2.07,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
e3a3546b-3e7c-4444-88fe-2a31e85eb95c,IMPVINVOLTERRA7FERENDALE,LVP-IMPR-37072,,,,"IMPVIN - VOLTERRA COLLECTION (FERENDALE) | #37072 | 7"" x 2mm - 48"" - 49.79sf/b",Box size (sf): 49.79 | Boxes per skid: 50,GLUE DOWN,,,,,,,,1.07,2.07,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
dff849a6-1bad-4f81-a116-47fba78ae10c,IMPVINVOLTERRA7FRASER,LVP-IMPR-37073,,,,"IMPVIN - VOLTERRA COLLECTION (FRASER) | #37073 | 7"" x 2mm - 48"" - 49.79sf/b",Box size (sf): 49.79 | Boxes per skid: 50,GLUE DOWN,,,,,,,,1.07,2.07,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
76862c7e-3b7f-4146-8974-b17e67c4a693,IMPVINVOLTERRA7NORTHVILLE,LVP-IMPR-37074,,,,"IMPVIN - VOLTERRA COLLECTION (NORTHVILLE) | #37074 | 7"" x 2mm - 48"" - 49.79sf/b",Box size (sf): 49.79 | Boxes per skid: 50,GLUE DOWN,,,,,,,,1.07,2.07,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
d4400384-1913-4b1a-bd12-561b9d4305da,IMPVINVOLTERRA7LENOX,LVP-IMPR-37075,,,,"IMPVIN - VOLTERRA COLLECTION (LENOX) | #37075 | 7"" x 2mm - 48"" - 49.79sf/b",Box size (sf): 49.79 | Boxes per skid: 50,GLUE DOWN,,,,,,,,1.07,2.07,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
7c094e0d-0914-4a87-92e1-0c290612fc91,IMPVINVOLTERRA7ARMADA,LVP-IMPR-37076,,,,"IMPVIN - VOLTERRA COLLECTION (ARMADA) | #37076 | 7"" x 2mm - 48"" - 49.79sf/b",Box size (sf): 49.79 | Boxes per skid: 50,GLUE DOWN,,,,,,,,1.07,2.07,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
8266242f-7bd2-475a-a78a-555a2092aa63,IMPVINVOLTERRA7ROCKVILLE,LVP-IMPR-37077,,,,"IMPVIN - VOLTERRA COLLECTION (ROCKVILLE) | #37077 | 7"" x 2mm - 48"" - 49.79sf/b",Box size (sf): 49.79 | Boxes per skid: 50,GLUE DOWN,,,,,,,,1.07,2.07,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
07dbe729-84bf-40ef-b953-8d4e79102bdc,IMPVINVENTURA7HOLLAND,LVP-IMPR-37050,,,,"IMPVIN - VENTURA COLLECTION (HOLLAND) | #37050 | 7"" x 2.5mm - 48"" - 50.92sf/b",Box size (sf): 50.92 | Boxes per skid: 50,GLUE DOWN,,,,,,,,1.31,2.31,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
58b75ef5-1d18-440e-846d-4da065c37c06,IMPVINVENTURA7DUTTON,LVP-IMPR-37051,,,,"IMPVIN - VENTURA COLLECTION (DUTTON) | #37051 | 7"" x 2.5mm - 48"" - 50.92sf/b",Box size (sf): 50.92 | Boxes per skid: 50,GLUE DOWN,,,,,,,,1.31,2.31,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
