id,handle,sku,comp4,comp5,comp6,name,description,product_category,variant_option_one_name,variant_option_one_value,opt2n,opt2v,opt3n,opt3v,tags,supply_price,retail_price,loyalty1,loyalty2,loyalty3,loyalty4,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Mississauga Outlet,inventory_Mississauga Outlet,reorder_point_Mississauga Outlet,restock_level_Mississauga Outlet
676b5d18-4590-4b4f-b0d2-c6ba35cbd53d,ENG65OAKPURDY168,ENG-FAWK-0030,,,,"NAFENG - White Oak T&G (Purdy) | 6.5"" x 18mm x RL - 20.25sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.69,4.69,,,,,,FLOORS AT WORK,,1,,,,,
3ed8c4a1-778a-408e-a3d3-c1ae51095b2b,ENG65OAKFLORENCE168,ENG-FAWK-0031,,,,"NAFENG - White Oak T&G (Florence) | 6.5"" x 18mm x RL - 20.25sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.69,4.69,,,,,,FLOORS AT WORK,,1,,,,,
b206e4f4-d1ea-4c58-a5e6-8c76274cf694,ENG65OAKNAPLES168,ENG-FAWK-0032,,,,"NAFENG - White Oak T&G (Naples) | 6.5"" x 18mm x RL - 20.25sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.69,4.69,,,,,,FLOORS AT WORK,,1,,,,,
f835ef3b-b685-4918-adcc-86ea80a0e607,ENG65OAKROME168,ENG-FAWK-0033,,,,"NAFENG - White Oak T&G (Rome) | 6.5"" x 18mm x RL - 20.25sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.69,4.69,,,,,,FLOORS AT WORK,,1,,,,,
43b19a8b-2db9-4831-8554-9e37210f7bfe,ENG65OAKSUNLIGHT168,ENG-FAWK-0034,,,,"NAFENG - White Oak T&G (Sunlight) | 6.5"" x 18mm x RL - 20.25sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.69,4.69,,,,,,FLOORS AT WORK,,1,,,,,
4b1143e8-c99e-4996-8eb0-5656702f16a2,ENG65OAKGUYANAREGAL,ENG-FAWK-0035,,,,"NAFENG - Regal American White Oak (Guyana) T&G | 6.5"" x 18mm x RL - 20.24sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.79,4.79,,,,,,FLOORS AT WORK,,1,,,,,
84f1655d-e059-4fa1-aca5-77fe1a9b3fe1,ENG65OAKTRINIDADREGAL,ENG-FAWK-0036,,,,"NAFENG - Regal American White Oak (Trinidad) T&G | 6.5"" x 18mm x RL - 20.24sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.79,4.79,,,,,,FLOORS AT WORK,,1,,,,,
4561d200-a264-43e8-a56a-0b6ab73145be,ENG65OAKPUERTORICOREGAL,ENG-FAWK-0037,,,,"NAFENG - Regal American White Oak (Puerto Rico) T&G | 6.5"" x 18mm x RL - 20.24sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.79,4.79,,,,,,FLOORS AT WORK,,1,,,,,
f8c3f291-d53d-4bca-8cf6-a0835b6cf484,ENG65OAKSURINAMEREGAL,ENG-FAWK-0038,,,,"NAFENG - Regal American White Oak (Suriname) T&G | 6.5"" x 18mm x RL - 20.24sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.79,4.79,,,,,,FLOORS AT WORK,,1,,,,,
74dcdfb0-b3db-42f4-a045-99a1cd064efc,ENG75OAKJAMAICAREGAL,ENG-FAWK-0039,,,,"NAFENG - Regal American White Oak (Jamaica) T&G | 7.5"" x 18mm x RL - 23.31sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.79,4.79,,,,,,FLOORS AT WORK,,1,,,,,
bcd5e93c-a5f4-4d36-917f-73c69a5b4e71,ENG75OAKARUBAREGAL,ENG-FAWK-0040,,,,"NAFENG - Regal American White Oak (Aruba) T&G | 7.5"" x 18mm x RL - 23.31sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.79,4.79,,,,,,FLOORS AT WORK,,1,,,,,
aff41580-1c1d-4828-b8e9-3b53002c43bb,ENG75OAKSTLUCIAREGAL,ENG-FAWK-0044,,,,"NAFENG - Regal American White Oak (St. Lucia) T&G | 7.5"" x 18mm x RL - 23.31sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.79,4.79,,,,,,FLOORS AT WORK,,1,,,,,
39665145-285c-423a-ac9c-e1f272491011,ENG75OAKCUBAREGAL,ENG-FAWK-0045,,,,"NAFENG - Regal American White Oak (Cuba) T&G | 7.5"" x 18mm x RL - 23.31sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.79,4.79,,,,,,FLOORS AT WORK,,1,,,,,
82eee7a5-3756-4c43-a1d0-e55fee905a80,ENG75OAKDOMINICAREGAL,ENG-FAWK-0046,,,,"NAFENG - Regal American White Oak (Dominica) T&G | 7.5"" x 18mm x RL - 23.31sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.79,4.79,,,,,,FLOORS AT WORK,,1,,,,,
0eff8950-8fd0-42af-b0ac-02c8c3a6547d,ENG75OAKSTKITTSREGAL,ENG-FAWK-0047,,,,"NAFENG - Regal American White Oak (St. Kitts) T&G | 7.5"" x 18mm x RL - 23.31sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.79,4.79,,,,,,FLOORS AT WORK,,1,,,,,
1b15d0c8-577f-4ab9-8c2d-047cb7ceda3c,ENG75OAKTORINOREGAL,ENG-FAWK-0049,,,,"NAFENG - Regal American White Oak (Torino) T&G | 7.5"" x 18mm x RL - 23.44sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.79,4.79,,,,,,FLOORS AT WORK,,1,,,,,
9bdac384-301c-499d-9cb4-27d08f23c573,ENG75OAKVENICEREGAL,ENG-FAWK-0050,,,,"NAFENG - Regal American White Oak (Venice) T&G | 7.5"" x 18mm x RL - 23.44sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.79,4.79,,,,,,FLOORS AT WORK,,1,,,,,
0cf786be-086e-4d14-8b8e-5861b6fcc97e,ENG75OAKLISBONREGAL,ENG-FAWK-0051,,,,"NAFENG - Regal American White Oak (Lisbon) T&G | 7.5"" x 18mm x RL - 23.44sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.79,4.79,,,,,,FLOORS AT WORK,,1,,,,,
30bb94a1-ac01-4fac-927d-31f69b3e7cb8,ENG75OAKDALIDES,ENG-FAWK-0053,,,,"NAFENG - Designer American White Oak (Dali) T&G | 7.5"" x 18mm x RL - 23.31sf/b",,ENGINEERED HARDWOOD,,,,,,,,4.99,5.99,,,,,,FLOORS AT WORK,,1,,,,,
dbd25b9b-adea-4024-82f2-fa9bcb8cfbc5,ENG75OAKMONETDES,ENG-FAWK-0052,,,,"NAFENG - Designer American White Oak (Monet) T&G | 7.5"" x 18mm x RL - 23.31sf/b",,ENGINEERED HARDWOOD,,,,,,,,4.99,5.99,,,,,,FLOORS AT WORK,,1,,,,,
3bf1b792-5c1f-46c9-a58a-f925f6b5eafc,ENG75OAKPICASSODES,ENG-FAWK-0055,,,,"NAFENG - Designer American White Oak (Picasso) T&G | 7.5"" x 18mm x RL - 23.31sf/b",,ENGINEERED HARDWOOD,,,,,,,,4.99,5.99,,,,,,FLOORS AT WORK,,1,,,,,
c7967980-5f0b-4899-a593-9770f1f3e8a0,ENG75OAKDAVINCIDES,ENG-FAWK-0054,,,,"NAFENG - Designer American White Oak (Da Vinci) T&G | 7.5"" x 18mm x RL - 23.31sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.99,5.99,,,,,,FLOORS AT WORK,,1,,,,,
312c35d2-5426-4e6b-bd12-37ace4b7e716,ENG75OAKMONTANAELEG,ENG-FAWK-0068,,,,"NAFENG - Elegant American White Oak (Montana) T&G | 7.5"" x 18mm x RL - 23.81sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.49,4.49,,,,,,FLOORS AT WORK,,1,,,,,
814fca4c-f593-43cb-9e91-3df05a863009,ENG75OAKOHIOELEG,ENG-FAWK-0070,,,,"NAFENG - Elegant American White Oak (Ohio) T&G | 7.5"" x 18mm x RL - 23.81sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.49,4.49,,,,,,FLOORS AT WORK,,1,,,,,
82737f81-6eee-4be8-b27e-29f364af5d1a,ENG75OAKARIZONAELEG,ENG-FAWK-0071,,,,"NAFENG - Elegant American White Oak (Arizona) T&G | 7.5"" x 18mm x RL - 23.81sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.49,4.49,,,,,,FLOORS AT WORK,,1,,,,,
d6db4370-f6f5-421a-9fe1-4b1a8daff0f5,ENG75OAKALASKAELEG,ENG-FAWK-0072,,,,"NAFENG - Elegant American White Oak (Alaska) T&G | 7.5"" x 18mm x RL - 23.81sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.49,4.49,,,,,,FLOORS AT WORK,,1,,,,,
c51a4aa5-298c-4e1a-8b9e-9171564a8830,ENG75OAKCOLORADOELEG,ENG-FAWK-0073,,,,"NAFENG - Elegant American White Oak (Colorado) T&G | 7.5"" x 18mm x RL - 23.81sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.49,4.49,,,,,,FLOORS AT WORK,,1,,,,,
d79fbd7e-97f5-4f70-821d-89f57c8f8413,ENG75OAKKANSASELEG,ENG-FAWK-0074,,,,"NAFENG - Elegant American White Oak (Kansas) T&G | 7.5"" x 18mm x RL - 23.81sf/b",,ENGINEERED HARDWOOD,,,,,,,,3.49,4.49,,,,,,FLOORS AT WORK,,1,,,,,
